name	type	Also known as                                                                                                                              
Solar power	Industry	                                                                                                                                 
Energy conservation		                                                                                                                                 
Arbusto Energy	Company	Arbusto Oil                                                                                                                    
	Employer	Bush Exploration                                                                                                                            
	Defunct Company	                                                                                                                                     
Reliant Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
Husky Energy	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Esprit Energy Trust	Company	                                                                                                                          
	Employer	                                                                                                                                            
Atomic Energy of Canada Limited	Company	                                                                                                              
	Employer	                                                                                                                                            
Progress Energy Inc	Company	                                                                                                                          
	Employer	                                                                                                                                            
British Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
Kinder-Morgan Energy Partners	Company	                                                                                                                
	Employer	                                                                                                                                            
DONG Energy	Company	                                                                                                                                  
	Employer	                                                                                                                                            
Puget Sound Energy	Company	                                                                                                                           
	Employer	                                                                                                                                            
Xcel Energy	Company	                                                                                                                                  
	Employer	                                                                                                                                            
Reliance Energy	Company	                                                                                                                              
	Employer	                                                                                                                                            
Unified Energy System	Company	                                                                                                                        
	Employer	                                                                                                                                            
Duke Energy	Company	                                                                                                                                  
	Employer	                                                                                                                                            
	Asset Owner	                                                                                                                                         
Suncor Energy	Company	                                                                                                                                
	Venture Investor	                                                                                                                                    
	Employer	                                                                                                                                            
Chesapeake Energy	Company	                                                                                                                            
	Employer	                                                                                                                                            
CMS Energy	Company	                                                                                                                                   
	Employer	                                                                                                                                            
Direct Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Constellation Energy	Company	                                                                                                                         
	Employer	                                                                                                                                            
FirstEnergy	Company	                                                                                                                                  
	Employer	                                                                                                                                            
Atmos Energy	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Stirling Energy Systems	Company	                                                                                                                      
	Employer	                                                                                                                                            
Allegheny Energy	Company	                                                                                                                             
	Employer	                                                                                                                                            
Cambridge Energy Research Associates	Company	                                                                                                         
	Employer	                                                                                                                                            
Talisman Energy	Company	                                                                                                                              
	Employer	                                                                                                                                            
The Energy Group	Company	                                                                                                                             
	Employer	                                                                                                                                            
DTE Energy	Company	                                                                                                                                   
	CRP Political Contributor	                                                                                                                           
	Employer	                                                                                                                                            
	Topic	                                                                                                                                               
Devon Energy	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Cairn Energy	Company	                                                                                                                                 
	Employer	                                                                                                                                            
CenterPoint Energy	Company	                                                                                                                           
	Employer	                                                                                                                                            
Consumers Energy	Company	                                                                                                                             
	Employer	                                                                                                                                            
Scottish and Southern Energy	Company	                                                                                                                 
	Employer	                                                                                                                                            
Panda Energy International	Company	                                                                                                                   
	Employer	                                                                                                                                            
Consol Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
NRG Energy	Company	                                                                                                                                   
	Employer	                                                                                                                                            
Reedy Creek Energy Services	Company	                                                                                                                  
	Employer	                                                                                                                                            
Austin Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Renova Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Peabody Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
	CRP Political Contributor	                                                                                                                           
	Topic	                                                                                                                                               
Origin Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Prisma Energy International	Company	                                                                                                                  
	Employer	                                                                                                                                            
Sempra Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
European Energy eXchange	Company	                                                                                                                     
	Employer	                                                                                                                                            
EDF Energy Customers	Company	EDF Energy Customers plc                                                                                                 
	Employer	                                                                                                                                            
Stream Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Japan Energy	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Suzlon Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Gexa Energy	Company	                                                                                                                                  
	Employer	                                                                                                                                            
Cirro Energy	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Energy Transfer Partners	Company	ENERGY TRANSFER PARTNERS                                                                                             
	Employer	                                                                                                                                            
Superior Energy Services	Company	                                                                                                                     
	Employer	                                                                                                                                            
Wisconsin Energy Corporation	Company	                                                                                                                 
	Employer	                                                                                                                                            
Energy East	Company	                                                                                                                                  
	Employer	                                                                                                                                            
MidAmerican Energy Holdings Company	Company	                                                                                                          
	Employer	                                                                                                                                            
MidAmerican Energy Company	Company	                                                                                                                   
	Employer	                                                                                                                                            
Energy Northwest	Company	                                                                                                                             
	Employer	                                                                                                                                            
Renewable Energy Corporation	Company	                                                                                                                 
	Employer	                                                                                                                                            
Solid Energy	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Vaalco Energy Inc.	Company	                                                                                                                           
	Employer	                                                                                                                                            
Trinidad Energy	Company	                                                                                                                              
	Employer	                                                                                                                                            
EnergyICT	Company	                                                                                                                                    
	Employer	                                                                                                                                            
SaskEnergy	Company	                                                                                                                                   
	Employer	                                                                                                                                            
ExAlta Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Progress Energy Trust	Company	                                                                                                                        
	Employer	                                                                                                                                            
RSX Energy	Company	                                                                                                                                   
	Employer	                                                                                                                                            
NOCO Energy Corporation	Company	                                                                                                                      
	Employer	                                                                                                                                            
Builders Energy	Company	                                                                                                                              
	Employer	                                                                                                                                            
CCS Energy Services	Company	                                                                                                                          
	Employer	                                                                                                                                            
Deepwell Energy	Company	                                                                                                                              
	Employer	                                                                                                                                            
Diamond Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
Sony Energy Devices Corporation	Company	                                                                                                              
	Employer	                                                                                                                                            
Asia Energy PLC	Company	                                                                                                                              
	Employer	                                                                                                                                            
TECO Energy Company	Company	Tampa Electric Co.                                                                                                        
	Employer	TECO Energy, Inc.                                                                                                                           
CPS Energy	Company	                                                                                                                                   
	Employer	                                                                                                                                            
Fred. Olsen Energy	Company	                                                                                                                           
	Employer	                                                                                                                                            
Great Plains Energy	Company	                                                                                                                          
	Employer	                                                                                                                                            
Great River Energy	Company	                                                                                                                           
	Employer	                                                                                                                                            
Advanced Energy	Company	                                                                                                                              
	Employer	                                                                                                                                            
Irkutsk Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
Bloom Energy	Venture Funded Company	                                                                                                                  
	Company	                                                                                                                                             
	Employer	                                                                                                                                            
Eas Energy	Venture Investor	                                                                                                                          
	Company	                                                                                                                                             
	Employer	                                                                                                                                            
Energy Rekords	Record label	                                                                                                                          
	Company	                                                                                                                                             
	Employer	                                                                                                                                            
Alliant Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
XTO Energy	Company	                                                                                                                                   
	Employer	                                                                                                                                            
Siberian Coal Energy Company	Company	                                                                                                                 
	Employer	                                                                                                                                            
West Energy	Company	                                                                                                                                  
	Employer	                                                                                                                                            
Burren Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Peoples Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
Energy Alberta Corporation	Company	                                                                                                                   
	Employer	                                                                                                                                            
Eraring Energy	Company	                                                                                                                               
	Government Agency	                                                                                                                                   
	Employer	                                                                                                                                            
Tarong Energy	Company	                                                                                                                                
	Employer	                                                                                                                                            
Energy Resources of Australia	Company	                                                                                                                
	Employer	                                                                                                                                            
Country Energy	Company	                                                                                                                               
	Government Agency	                                                                                                                                   
	Employer	                                                                                                                                            
Touchstone Energy	Company	                                                                                                                            
	Employer	                                                                                                                                            
SWEB Energy	Company	                                                                                                                                  
	Employer	                                                                                                                                            
Red Energy	Company	                                                                                                                                   
	Employer	                                                                                                                                            
Acciona Energy	Company	                                                                                                                               
	Employer	                                                                                                                                            
China Coal Energy Company	Company	                                                                                                                    
	Employer	                                                                                                                                            
Energy Saving Trust	Company	                                                                                                                          
	Employer	                                                                                                                                            
